Ventana,Feature,bin,limite_inferior,limite_superior,n_referencia,n_produccion,E_i,A_i,contribucion_psi
W1,contrast_std,4,0.12152492478489876,0.13437251448631288,50,51,0.1,0.102,3.960525459235878e-05
W1,contrast_std,5,0.13437251448631288,0.14736272394657135,50,64,0.1,0.128,0.006912082182082722
W1,contrast_std,6,0.14736272394657135,0.16511997878551485,50,75,0.1,0.15,0.020273255405408207
W1,contrast_std,7,0.16511997878551485,0.17697356194257735,50,50,0.1,0.1,0.0
W1,contrast_std,8,0.17697356194257735,0.18868831992149357,50,42,0.1,0.084,0.002789654194316445
W1,contrast_std,9,0.18868831992149357,0.20418118685483932,50,43,0.1,0.086,0.0021115204562841745
W1,contrast_std,10,0.20418118685483932,inf,50,46,0.1,0.092,0.0006670528715124097
W1,laplacian_variance,1,-inf,167.83675678274594,50,64,0.1,0.128,0.006912082182082722
W1,laplacian_variance,2,167.83675678274594,477.7067882498727,50,39,0.1,0.078,0.005466149904566996
W1,laplacian_variance,3,477.7067882498727,941.0833584314213,50,43,0.1,0.086,0.0021115204562841745
W1,laplacian_variance,4,941.0833584314213,1471.8402160900182,50,54,0.1,0.108,0.000615688329089025
W1,laplacian_variance,5,1471.8402160900182,2807.4839777624,50,56,0.1,0.112,0.0013599442236840364
W1,laplacian_variance,6,2807.4839777624,4128.062977877818,50,39,0.1,0.078,0.005466149904566996
W1,laplacian_variance,7,4128.062977877818,5288.404773068172,50,45,0.1,0.09,0.001053605156578265
W1,laplacian_variance,8,5288.404773068172,6669.093239500513,50,57,0.1,0.114,0.0018343956736896559
W1,laplacian_variance,9,6669.093239500513,8871.38182853125,50,56,0.1,0.112,0.0013599442236840364
W1,laplacian_variance,10,8871.38182853125,inf,50,47,0.1,0.094,0.0003712524223085255
W1,entropy,1,-inf,6.478596926649331,50,59,0.1,0.118,0.0029792598925963178
W1,entropy,2,6.478596926649331,6.647863148634827,50,26,0.1,0.052,0.031388470435519886
W1,entropy,3,6.647863148634827,6.815665708316279,50,42,0.1,0.084,0.002789654194316445
W1,entropy,4,6.815665708316279,6.9636764993361275,50,64,0.1,0.128,0.006912082182082722
W1,entropy,5,6.9636764993361275,7.082741178089535,50,61,0.1,0.122,0.004374718892393632
W1,entropy,6,7.082741178089535,7.204038240929146,50,64,0.1,0.128,0.006912082182082722
W1,entropy,7,7.204038240929146,7.322194810521079,50,48,0.1,0.096,0.0001632879780810208
W1,entropy,8,7.322194810521079,7.4163972300084025,50,42,0.1,0.084,0.002789654194316445
W1,entropy,9,7.4163972300084025,7.491098481174179,50,44,0.1,0.088,0.0015340004581186216
W1,entropy,10,7.491098481174179,inf,50,50,0.1,0.1,0.0
W1,edge_density,1,-inf,0.0248321533203125,50,50,0.1,0.1,0.0
W1,edge_density,2,0.0248321533203125,0.03843994140625,50,48,0.1,0.096,0.0001632879780810208
W1,edge_density,3,0.03843994140625,0.05293121337890626,50,51,0.1,0.102,3.960525459235878e-05
W1,edge_density,4,0.05293121337890626,0.0748382568359375,50,52,0.1,0.104,0.00015688285261312404
W1,edge_density,5,0.0748382568359375,0.11093902587890625,50,49,0.1,0.098,4.040541463503897e-05
W1,edge_density,6,0.11093902587890625,0.1479553222656251,50,39,0.1,0.078,0.005466149904566996
W1,edge_density,7,0.1479553222656251,0.18216094970703126,50,59,0.1,0.118,0.0029792598925963178
W1,edge_density,8,0.18216094970703126,0.2112274169921875,50,58,0.1,0.116,0.0023747200818923717
W1,edge_density,9,0.2112274169921875,0.24646148681640626,50,46,0.1,0.092,0.0006670528715124097
W1,edge_density,10,0.24646148681640626,inf,50,48,0.1,0.096,0.0001632879780810208
W2,r_mean,1,-inf,0.37364726364612577,50,39,0.1,0.078,0.005466149904566996
W2,r_mean,2,0.37364726364612577,0.3969003438949585,50,42,0.1,0.084,0.002789654194316445
W2,r_mean,3,0.3969003438949585,0.4164361357688904,50,37,0.1,0.074,0.007828732412381969
W2,r_mean,4,0.4164361357688904,0.4307249665260315,50,42,0.1,0.084,0.002789654194316445
W2,r_mean,5,0.4307249665260315,0.44608786702156067,50,36,0.1,0.072,0.00919811387521702
W2,r_mean,6,0.44608786702156067,0.461383193731308,50,43,0.1,0.086,0.0021115204562841745
W2,r_mean,7,0.461383193731308,0.47506269812583923,50,60,0.1,0.12,0.00364643113587909
